SKU,Code,mrp,wholesale_price,Mk UP,Promotion Type
5901,BLR0060214,88,29,3.034482759,B1G1
5902,BLR0060215,82,27,3.037037037,B1G1
5903,BLR0060216,82,27,3.037037037,B1G1
5904,BLR0060217,93,30,3.1,B1G1
5905,BLR0060218,93,30,3.1,B1G1
5907,BLR0060220,82,27,3.037037037,B1G1
5908,BLR0060221,71,23,3.086956522,B1G1
5909,BLR0060222,101,33,3.060606061,B1G1
5910,BLR0060223,71,23,3.086956522,B1G1
5911,BLR0060224,208,69,3.014492754,B1G1
5912,BLR0060225,202,67,3.014925373,B1G1
5913,BLR0060226,101,33,3.060606061,B1G1
5914,BLR0060227,208,69,3.014492754,B1G1
5958,BLR0360015,45,18,2.5,B1G1
6071,BLR0050104,123,40,3.075,B1G1
6073,BLR0050106,69,22,3.136363636,B1G1
6079,BLR0050112,145,48,3.020833333,B1G1
6082,BLR0050115,126,41,3.073170732,B1G1
6083,BLR0050116,126,41,3.073170732,B1G1
6241,MUM0070094,160,93,1.720430108,10%
6328,BLR0150213,298,99,3.01010101,B1G1
6329,BLR0150214,311,103,3.019417476,B1G1
6340,BLR0150225,369,122,3.024590164,B1G1
6863,MUM0160012,21,10,2.1,15%
6886,MUM0160035,27,13,2.076923077,15%
6889,MUM0160038,27,13,2.076923077,15%
6890,MUM0160039,33,16,2.0625,15%
6891,MUM0160040,33,16,2.0625,15%
6893,MUM0160042,33,16,2.0625,15%
6894,MUM0160043,20,9,2.222222222,20%
6899,MUM0160048,44,21,2.095238095,15%
6963,SRT0050181,128,70,1.828571429,10%
7074,SRT0040341,87,48,1.8125,10%
7077,SRT0040344,67,37,1.810810811,10%
7078,SRT0040345,67,37,1.810810811,10%
7079,SRT0040346,67,37,1.810810811,10%
7295,MUM0160054,14,7,2,15%
7296,MUM0160055,14,7,2,15%
7302,MUM0160061,23,11,2.090909091,15%
7304,MUM0160063,23,11,2.090909091,15%
7305,MUM0160064,30,15,2,15%
7310,MUM0160069,30,15,2,15%
7314,MUM0160073,30,15,2,15%
7316,MUM0160075,19,9,2.111111111,15%
7725,BLR0420015,575,229,2.510917031,B1G1
7750,MUM0160117,15,7,2.142857143,15%
7752,MUM0160119,15,7,2.142857143,15%
7762,MUM0160129,23,11,2.090909091,15%
7764,MUM0160131,23,11,2.090909091,15%
7765,MUM0160132,23,11,2.090909091,15%
7766,MUM0160133,23,11,2.090909091,15%
7767,MUM0160134,23,11,2.090909091,15%
7801,MUM0160168,21,10,2.1,15%
7802,MUM0160169,15,7,2.142857143,15%
7803,MUM0160170,15,7,2.142857143,15%
7804,MUM0160171,15,7,2.142857143,15%
7805,MUM0160172,15,7,2.142857143,15%
7806,MUM0160173,15,7,2.142857143,15%
7807,MUM0160174,15,7,2.142857143,15%
7808,MUM0160175,15,7,2.142857143,15%
7809,MUM0160176,15,7,2.142857143,15%
7811,MUM0160178,19,9,2.111111111,15%
7816,MUM0160183,19,9,2.111111111,15%
7819,MUM0160186,21,10,2.1,15%
7822,MUM0160189,14,6,2.333333333,30%
7823,MUM0160190,15,7,2.142857143,15%
8254,MUM0160198,14,6,2.333333333,30%
8259,MUM0160203,26,12,2.166666667,15%
8260,MUM0160204,26,12,2.166666667,15%
8268,MUM0160212,20,9,2.222222222,20%
8276,MUM0160220,23,11,2.090909091,15%
8281,MUM0160225,23,11,2.090909091,15%
8290,MUM0160234,34,16,2.125,15%
8294,MUM0160238,37,18,2.055555556,15%
8300,MUM0160244,34,16,2.125,15%
8308,MUM0160252,74,37,2,15%
8326,MUM0160270,11,5,2.2,20%
8327,MUM0160271,15,7,2.142857143,15%
8331,MUM0160275,21,10,2.1,15%
8332,MUM0160276,21,10,2.1,15%
8334,MUM0160278,19,9,2.111111111,15%
8335,MUM0160279,19,9,2.111111111,15%
8340,MUM0160284,23,11,2.090909091,15%
8345,MUM0160289,23,11,2.090909091,15%
8347,MUM0160291,23,11,2.090909091,15%
8351,MUM0160295,23,11,2.090909091,15%
8354,MUM0160298,12,6,2,15%
8357,MUM0160301,12,6,2,15%
8384,MUM0010043,88,39,2.256410256,20%
8385,MUM0010044,80,36,2.222222222,20%
8387,MUM0010046,72,32,2.25,20%
8390,MUM0010049,76,34,2.235294118,20%
8399,MUM0010058,80,36,2.222222222,20%
8400,MUM0010059,92,41,2.243902439,20%
8403,MUM0010062,96,43,2.23255814,20%
8404,MUM0010063,84,38,2.210526316,20%
8414,MUM0010073,76,34,2.235294118,20%
8415,MUM0010074,86,39,2.205128205,20%
8417,MUM0010076,52,23,2.260869565,20%
8418,MUM0010077,72,32,2.25,20%
8419,MUM0010078,48,21,2.285714286,20%
8911,MUM0030194,42,20,2.1,15%
8943,MUM0030229,32,15,2.133333333,15%
8988,VNS0270217,70,20,3.5,B1G1
9372,BLR0150276,52.909091,17,3.112299471,B1G1
9458,BLR0150327,59,19,3.105263158,B1G1
9575,MUM0160316,13,6,2.166666667,15%
9788,MUM0160420,10,4,2.5,B1G1
9789,MUM0160421,10,4,2.5,B1G1
9792,MUM0160424,27,13,2.076923077,15%
9794,MUM0160426,15,7,2.142857143,15%
9796,MUM0160428,15,7,2.142857143,15%
9799,MUM0160431,30,14,2.142857143,15%
9800,MUM0160432,30,14,2.142857143,15%
9802,MUM0160434,30,14,2.142857143,15%
9803,MUM0160435,30,14,2.142857143,15%
9804,MUM0160436,30,14,2.142857143,15%
9810,MUM0160442,28,13,2.153846154,15%
9811,MUM0160443,31,15,2.066666667,15%
9812,MUM0160444,16,7,2.285714286,20%
9813,MUM0160445,19,9,2.111111111,15%
9817,MUM0160449,28,13,2.153846154,15%
9818,MUM0160450,28,13,2.153846154,15%
9820,MUM0160452,22,10,2.2,20%
9821,MUM0160453,25,12,2.083333333,15%
9848,BLR0020283,207,69,3,B1G1
9849,BLR0020284,207,69,3,B1G1
9850,BLR0020285,204,68,3,B1G1
9861,BLR0020296,490,163,3.006134969,B1G1
9863,BLR0020298,427,142,3.007042254,B1G1
9872,BLR0020319,203,67,3.029850746,B1G1
9875,BLR0020302,497,165,3.012121212,B1G1
9876,BLR0020303,515,171,3.011695906,B1G1
10079,BLR0020351,204,68,3,B1G1
10080,BLR0020352,207,69,3,B1G1
10081,BLR0020353,204,68,3,B1G1
10091,BLR0020368,204,68,3,B1G1
10125,BLR0020405,80,26,3.076923077,B1G1
10190,BLR0010068,36,11,3.272727273,B1G1
10253,BLR0030131,153,50,3.06,B1G1
10255,BLR0030134,290,96,3.020833333,B1G1
10259,BLR0030138,240,80,3,B1G1
10261,BLR0030140,290,96,3.020833333,B1G1
10264,BLR0030143,290,96,3.020833333,B1G1
10265,BLR0030144,153,50,3.06,B1G1
10269,BLR0030148,141,46,3.065217391,B1G1
10270,BLR0030149,141,46,3.065217391,B1G1
10271,BLR0030150,141,46,3.065217391,B1G1
10286,BLR0020490,207,69,3,B1G1
10287,BLR0020491,207,69,3,B1G1
10291,BLR0020497,156,51,3.058823529,B1G1
10387,BLR0020467,451,150,3.006666667,B1G1
10398,BLR0020478,461,153,3.013071895,B1G1
10402,BLR0020482,426,141,3.021276596,B1G1
10406,BLR0020495,150,49,3.06122449,B1G1
10407,BLR0020496,156,51,3.058823529,B1G1
10409,BLR0030154,174,58,3,B1G1
10410,BLR0030155,130,43,3.023255814,B1G1
10411,BLR0030156,130,43,3.023255814,B1G1
10412,BLR0030157,141,46,3.065217391,B1G1
10414,BLR0030159,115,38,3.026315789,B1G1
10417,BLR0030162,175,58,3.017241379,B1G1
10426,BLR0030171,175,58,3.017241379,B1G1
10428,BLR0030173,130,43,3.023255814,B1G1
10432,BLR0030177,120,40,3,B1G1
10741,BLR0010166,27,8,3.375,B1G1
11034,BLR0020502,454,151,3.006622517,B1G1
11036,BLR0020504,907,302,3.003311258,B1G1
11039,BLR0020507,617,205,3.009756098,B1G1
11040,BLR0020508,546,182,3,B1G1
11059,BLR0020527,194,64,3.03125,B1G1
11060,BLR0020528,194,64,3.03125,B1G1
11064,BLR0020532,150,49,3.06122449,B1G1
11067,BLR0020535,198,65,3.046153846,B1G1
11069,BLR0020537,158,52,3.038461538,B1G1
11070,BLR0020538,330,109,3.027522936,B1G1
11073,BLR0020541,158,52,3.038461538,B1G1
11074,BLR0020542,173,57,3.035087719,B1G1
11075,BLR0020543,173,57,3.035087719,B1G1
11079,BLR0020547,213,70,3.042857143,B1G1
11082,BLR0020550,330,109,3.027522936,B1G1
11083,BLR0020551,725,289,2.508650519,B1G1
11084,BLR0020552,158,52,3.038461538,B1G1
11085,BLR0020553,173,57,3.035087719,B1G1
11086,BLR0020554,173,57,3.035087719,B1G1
11090,BLR0020558,126,42,3,B1G1
11091,BLR0020559,126,42,3,B1G1
11092,BLR0020560,114,38,3,B1G1
11095,BLR0020563,110,36,3.055555556,B1G1
11109,BLR0020577,114,38,3,B1G1
11115,BLR0020583,348,115,3.026086957,B1G1
11148,BLR0020590,173,57,3.035087719,B1G1
11153,BLR0020595,461,153,3.013071895,B1G1
11154,BLR0020596,277,92,3.010869565,B1G1
11157,BLR0020599,419,139,3.014388489,B1G1
11158,BLR0020600,173,57,3.035087719,B1G1
11161,BLR0020603,546,182,3,B1G1
11194,MUM0070128,148,73,2.02739726,15%
11506,SRT0050223,138,68,2.029411765,15%
11516,SRT0050233,170,84,2.023809524,15%
11517,SRT0050234,114,56,2.035714286,15%
11519,SRT0050236,105,52,2.019230769,15%
11523,SRT0050240,98,48,2.041666667,15%
11592,BLR0710010,180,60,3,B1G1
11594,BLR0710012,126,41,3.073170732,B1G1
11596,BLR0710014,104,34,3.058823529,B1G1
11598,BLR0710016,77,25,3.08,B1G1
11599,BLR0710017,99,32,3.09375,B1G1
11601,BLR0710019,99,32,3.09375,B1G1
11602,BLR0710020,148,49,3.020408163,B1G1
11607,BLR0710025,110,36,3.055555556,B1G1
11617,BLR0710035,126,41,3.073170732,B1G1
12168,MUM0040385,28,12,2.333333333,30%
12465,MUM0220019,80,31,2.580645161,B1G1
12514,SRT0050286,58,26,2.230769231,20%
12518,SRT0050290,0,28,0,10%
12522,SRT0050294,71,32,2.21875,20%
12523,SRT0050295,59,26,2.269230769,20%
12524,SRT0050296,62,27,2.296296296,20%
12526,SRT0050298,86,38,2.263157895,20%
12531,SRT0050303,91,41,2.219512195,20%
12535,SRT0050307,84,38,2.210526316,20%
