product_id,Tags
4,buy1get1
5,buy1get1
6,buy1get1
8,buy1get1
9,buy1get1
12,buy1get1
13,buy1get1
16,buy1get1
18,buy1get1
22,buy1get1
39,buy1get1
50,buy1get1
57,buy1get1
84,buy1get1
89,buy1get1
90,buy1get1
143,buy1get1
144,buy1get1
157,buy1get1
194,buy1get1
201,buy1get1
203,buy1get1
206,buy1get1
208,buy1get1
209,buy1get1
213,buy1get1
214,buy1get1
216,buy1get1
227,buy1get1
234,buy1get1
241,buy1get1
243,buy1get1
271,buy1get1
272,buy1get1
302,buy1get1
304,buy1get1
454,buy1get1
462,buy1get1
463,buy1get1
464,buy1get1
487,buy1get1
510,buy1get1
725,buy1get1
731,buy1get1
732,buy1get1
733,buy1get1
736,buy1get1
737,buy1get1
738,buy1get1
739,buy1get1
924,buy1get1
927,buy1get1
929,buy1get1
930,buy1get1
931,buy1get1
932,buy1get1
933,buy1get1
943,buy1get1
973,buy1get1
977,buy1get1
978,buy1get1
981,buy1get1
2179,buy1get1
2186,buy1get1
2219,buy1get1
5625,buy1get1
5626,buy1get1
5630,buy1get1
5631,buy1get1
5633,buy1get1
5634,buy1get1
5635,buy1get1
5637,buy1get1
5894,buy1get1
5895,buy1get1
5896,buy1get1
5897,buy1get1
5899,buy1get1
5900,buy1get1
5901,buy1get1
5902,buy1get1
5903,buy1get1
5904,buy1get1
5905,buy1get1
5907,buy1get1
5908,buy1get1
5909,buy1get1
5910,buy1get1
5911,buy1get1
5912,buy1get1
5913,buy1get1
5914,buy1get1
5958,buy1get1
6071,buy1get1
6073,buy1get1
6079,buy1get1
6082,buy1get1
6083,buy1get1
6328,buy1get1
6329,buy1get1
6340,buy1get1
7725,buy1get1
8988,buy1get1
9372,buy1get1
9458,buy1get1
9788,buy1get1
9789,buy1get1
9848,buy1get1
9849,buy1get1
9850,buy1get1
9861,buy1get1
9863,buy1get1
9872,buy1get1
9875,buy1get1
9876,buy1get1
10079,buy1get1
10080,buy1get1
10081,buy1get1
10091,buy1get1
10125,buy1get1
10190,buy1get1
10253,buy1get1
10255,buy1get1
10259,buy1get1
10261,buy1get1
10264,buy1get1
10265,buy1get1
10269,buy1get1
10270,buy1get1
10271,buy1get1
10286,buy1get1
10287,buy1get1
10291,buy1get1
10387,buy1get1
10398,buy1get1
10402,buy1get1
10406,buy1get1
10407,buy1get1
10409,buy1get1
10410,buy1get1
10411,buy1get1
10412,buy1get1
10414,buy1get1
10417,buy1get1
10426,buy1get1
10428,buy1get1
10432,buy1get1
10571,buy1get1
10573,buy1get1
10574,buy1get1
10575,buy1get1
10576,buy1get1
10577,buy1get1
10578,buy1get1
10579,buy1get1
10580,buy1get1
10581,buy1get1
10582,buy1get1
10586,buy1get1
10587,buy1get1
10588,buy1get1
10589,buy1get1
10590,buy1get1
10591,buy1get1
10592,buy1get1
10593,buy1get1
10594,buy1get1
10595,buy1get1
10596,buy1get1
10598,buy1get1
10600,buy1get1
10602,buy1get1
10603,buy1get1
10604,buy1get1
10741,buy1get1
11034,buy1get1
11036,buy1get1
11039,buy1get1
11040,buy1get1
11059,buy1get1
11060,buy1get1
11064,buy1get1
11067,buy1get1
11069,buy1get1
11070,buy1get1
11073,buy1get1
11074,buy1get1
11075,buy1get1
11079,buy1get1
11082,buy1get1
11083,buy1get1
11084,buy1get1
11085,buy1get1
11086,buy1get1
11090,buy1get1
11091,buy1get1
11092,buy1get1
11095,buy1get1
11109,buy1get1
11115,buy1get1
11148,buy1get1
11153,buy1get1
11154,buy1get1
11157,buy1get1
11158,buy1get1
11161,buy1get1
11592,buy1get1
11594,buy1get1
11596,buy1get1
11598,buy1get1
11599,buy1get1
11601,buy1get1
11602,buy1get1
11607,buy1get1
11617,buy1get1
12465,buy1get1
12971,buy1get1
13159,buy1get1
13160,buy1get1
13164,buy1get1
13165,buy1get1
13166,buy1get1
13167,buy1get1
13168,buy1get1
13170,buy1get1
13171,buy1get1
13172,buy1get1
13173,buy1get1
13174,buy1get1
13175,buy1get1
13176,buy1get1
13177,buy1get1
13178,buy1get1
13180,buy1get1
13293,buy1get1
13294,buy1get1
13295,buy1get1
13296,buy1get1
13297,buy1get1
13298,buy1get1
13299,buy1get1
13301,buy1get1
13302,buy1get1
13303,buy1get1
13304,buy1get1
13305,buy1get1
13306,buy1get1
13307,buy1get1
13310,buy1get1
13311,buy1get1
13312,buy1get1
13313,buy1get1
13314,buy1get1
13315,buy1get1
13316,buy1get1
13317,buy1get1
13318,buy1get1
13319,buy1get1
13321,buy1get1
13322,buy1get1
13324,buy1get1
13326,buy1get1
13328,buy1get1
13329,buy1get1
13330,buy1get1
13331,buy1get1
13332,buy1get1
13333,buy1get1
13337,buy1get1
13338,buy1get1
13505,buy1get1
13511,buy1get1
13905,buy1get1
